GS_class;SF_class;SF_number;CH_distance;CH_area;SS_distance;SS_number;SS_areas;Day;Month;Year;CME_max_angular_width;CME_max_velocity;CME_number
0;1.6999999999999996e-06;8;17.56867573781791;1609017713761.0;62.17371455880705;5;-1219301306;5;12;2012;231;963.0;9
0;6.4e-07;11;17.976008738278548;1522686245888.0;56.290383337489864;6;-812082236;6;12;2012;89;382.0;5
0;3.9e-06;11;15.524772582718608;1685429425572.0;71.49989512204792;5;-1795177282;7;12;2012;186;894.0;6
0;9.5e-07;55;18.193722016922074;1739931410198.0;46.72734762884137;3;1225533984;8;12;2012;165;723.0;7
0;1.4e-06;35;18.186221563775174;1984259245212.0;1000.0;0;0;9;12;2012;145;441.0;4
0;5.5e-06;36;17.17857404437708;2110726849534.0;1000.0;0;0;10;12;2012;213;495.0;10
0;5.699999999999999e-07;23;11.363173486518916;2089406913593.0;1000.0;0;0;11;12;2012;104;461.0;14
0;5.700000000000001e-06;32;18.419731745603336;2082594309678.0;1000.0;0;0;12;12;2012;88;318.0;10
0;1.2e-06;29;17.361914140175777;2152751589183.0;1000.0;0;0;13;12;2012;49;232.0;10
0;1e-06;24;17.672820895103538;2082198171763.0;35.89697604413332;4;1780570016;14;12;2012;149;763.0;12
0;1.2e-06;57;17.581443745865716;2055169193920.0;24.790884993442386;12;555735744;15;12;2012;54;481.0;7
0;1.1e-06;56;10.883998725547476;1942791174220.0;24.790884993442386;19;-428107586;16;12;2012;63;620.0;11
0;1.3e-06;46;3.1511270972504906;2309506869991.0;70.17744689222121;19;727452512;17;12;2012;114;682.0;7
0;1.4e-06;26;16.914377473590935;2152953816455.0;67.1327864707835;10;385317760;18;12;2012;71;682.0;10
0;5.8e-07;26;16.93660365150049;2045122815882.4;10.242252392357056;14;-1471569580;19;12;2012;52;542.0;9
0;4.9e-07;24;11.830752830132079;1851852804004.0;40.34206190403803;10;-1964878554;20;12;2012;231;444.0;9
0;1.9e-06;61;16.806529269167463;1771980837918.0;42.135797740507634;8;-352978270;21;12;2012;81;444.0;9
0;1.9e-06;111;15.173804965097773;1739560116018.0;18.075437595649266;7;-1364702304;22;12;2012;110;393.0;10
0;1.5e-06;48;12.850600455403375;1748382130888.0;51.265764036682654;5;1697363008;23;12;2012;65;299.0;4
0;1.6999999999999996e-06;21;12.850600455403375;2039193905692.0;51.265764036682654;1;309755008;24;12;2012;43;371.0;8
0;4.1e-06;67;15.860366550083976;2144077586609.0;41.417723529246146;2;719434016;25;12;2012;103;439.0;12
0;3.9e-06;69;11.125297618022056;2039821544057.0;98.34598618861669;1;342056000;26;12;2012;37;288.0;3
0;1.6e-06;35;13.457005266642685;1871896619859.0;43.9978752488564;1;419092992;27;12;2012;187;404.0;6
0;3.7e-07;6;0.8128865080067359;1825984153192.0;43.9978752488564;5;-1808011328;28;12;2012;187;432.0;11
0;1.5e-06;18;0.8128865080067359;1796705910172.0;81.07465921540357;5;-1160627266;29;12;2012;109;865.0;8
0;7.1e-07;18;15.219446520046;1562166979978.0;76.64062432823262;5;-1240911296;30;12;2012;92;865.0;6
0;8.9e-07;37;15.569453594953822;1633331489974.0;50.79949671698201;8;-669766312;31;12;2012;173;864.0;6
0;1.2e-06;38;16.891143523787452;1650195509978.0;78.82014030777944;11;720928802;1;1;2013;70;1838.0;17
0;5.599999999999999e-07;17;17.186726058549887;1792498528766.0;3.12404049786128;17;878077468;2;1;2013;121;1838.0;10
0;1.6999999999999996e-06;52;18.51396305791437;1875327529364.0;29.44760855822704;24;418785216;3;1;2013;73;1717.0;14
0;2.3e-06;46;18.51254405944652;2165972519900.0;10.225666060776867;22;810080012;4;1;2013;98;1644.0;21
0;1.7e-05;109;8.684043635972587;2447314302856.0;10.225666060776867;28;441066744;5;1;2013;60;1453.0;19
0;3e-06;43;17.859643112916952;2223464944846.0;25.65583917376208;32;1178852948;6;1;2013;211;1893.0;23
0;3.1e-06;77;18.257382767496022;2049964328424.0;9.829022399102092;26;-355556830;7;1;2013;360;1804.0;13
0;4e-06;75;11.189953652236662;1932657454893.0;9.829022399102092;21;1762843380;8;1;2013;66;365.0;13
0;3.1e-06;49;16.97589026721391;1915701923240.0;13.255723985576315;27;1527386848;9;1;2013;114;1894.0;19
0;8e-06;138;0.6836307165514511;1853081436931.0;13.255723985576315;30;27333986926;10;1;2013;68;688.0;15
0;1.2e-05;195;16.25443451208977;1809763055728.0;3.921725385012592;31;30489040898;11;1;2013;223;1897.0;24
0;5.299999999999998e-06;112;12.786187217478385;1956336325696.0;3.921725385012592;32;30315094206;12;1;2013;63;526.0;11
0;1.7e-05;174;16.729303508901523;1863573417666.0;20.76469131850373;30;-62787112;13;1;2013;176;1486.0;11
0;6.5000000000000004e-06;113;17.026141340872947;1727314864059.0;20.76469131850373;38;2129548532;14;1;2013;129;1225.0;13
0;2.2e-06;120;16.68791658597104;1772872219708.0;15.329856290725974;31;-824234800;15;1;2013;162;1136.0;15
0;2.3e-06;31;17.399305189421856;1757096818650.0;12.361532124431474;20;1180294928;16;1;2013;250;1736.0;18
0;7.699999999999998e-07;29;16.967669631394475;1937079457470.0;2.3413648141543435;20;1692514178;17;1;2013;46;1838.0;12
0;5.8e-06;73;17.451230528327628;2005055610292.0;47.67183342752028;17;-1707384996;18;1;2013;93;456.0;12
0;1.1e-06;30;17.074128696984427;1926695383179.0;47.67183342752028;13;-1610853604;19;1;2013;70;2015.0;13
0;1.1e-06;29;16.20485815596432;2040533361398.0;13.192905831324856;9;-1007146304;20;1;2013;134;749.0;10
0;4.7e-07;21;16.81987840586404;2140968740440.0;51.33189681715452;5;1819231008;21;1;2013;128;508.0;4
0;7.699999999999998e-07;25;19.390024249254203;2317382327177.0;1000.0;0;0;22;1;2013;131;811.0;11
0;6.499999999999999e-07;16;18.612344693809586;2329377773130.0;90.18102834543213;5;-1881473320;23;1;2013;185;1275.0;12
0;6.599999999999999e-07;9;18.159310475829354;2081207567010.0;87.18101463935264;7;-1086583302;24;1;2013;51;1275.0;16
0;5.9e-07;19;14.617761639633036;1891975996880.0;57.94068835963922;5;-1957281280;25;1;2013;41;425.0;9
0;7.1e-07;13;18.65561145149477;2026124207082.0;57.70203530850341;2;849259968;26;1;2013;53;827.0;2
0;0.0;10;18.76738611129168;1695073644218.0;1000.0;0;0;27;1;2013;103;839.0;7
0;1.1e-06;21;17.3749703759981;1740010811308.0;80.42872950594143;2;659052000;28;1;2013;116;436.0;5
0;0.0;6;17.825683404178598;1860265996336.0;33.95878513985639;8;-1574939296;29;1;2013;116;729.0;9
0;2.3e-07;14;16.54347405715709;2040113073326.0;50.25853708447592;12;716302720;30;1;2013;95;2016.0;10
0;1.1e-06;27;17.652160170179524;2515005788830.0;82.08911857310981;8;533211718;31;1;2013;173;1855.0;14
0;6.9e-07;22;17.80206725815247;2940917595934.0;81.6375262592655;7;363316750;1;2;2013;105;802.0;12
0;2.9e-06;40;10.259599255742623;3108684861300.0;62.473589778665364;10;1832592772;2;2;2013;84;1486.0;17
0;8.400000000000001e-06;60;9.983291430981858;3180163923432.0;62.473589778665364;10;1608971706;3;2;2013;118;1953.0;12
0;2e-06;28;1.574225494838281;2746341855744.0;73.70216248344387;10;1475154600;4;2;2013;61;1302.0;10
0;6.3e-06;42;3.987904729417286;2500258451480.0;69.65780250358955;10;1031047698;5;2;2013;66;644.0;8
0;8.7e-06;28;17.587502227549752;2445420377578.0;72.48672500982353;12;1448604704;6;2;2013;271;1867.0;6
0;6.599999999999999e-07;12;16.98720577151567;2607657294368.0;78.10628181938165;12;1091628712;7;2;2013;103;1785.0;7
0;4.7e-07;26;16.99128287652881;2545184517718.0;75.75114370512695;7;-1256872288;8;2;2013;161;575.0;5
0;2.4e-06;21;8.677798166826577;2666486620706.0;52.066136425598295;9;-541340288;9;2;2013;198;791.0;17
0;4.2e-07;7;6.781497844760403;2684406337416.0;48.552520488807275;9;-49325276;10;2;2013;70;932.0;13
0;5.8e-07;23;17.046925894399553;2557765425574.0;41.514383139507046;11;1241377666;11;2;2013;106;1785.0;10
0;1.5e-06;19;16.802302406663102;2547590193128.0;55.336653890808705;10;758594718;12;2;2013;165;1255.0;8
0;8e-07;30;15.016326720980349;2699362480688.0;5.317760507042044;9;-187953280;13;2;2013;165;1121.0;18
0;1e-06;7;16.205565668070225;2727388312874.0;24.59479562784959;5;-1763223264;14;2;2013;110;2019.0;14
0;5.1e-07;19;16.60788167375278;2552435871416.0;34.77636077757361;4;1994152000;15;2;2013;136;857.0;10
0;5.3e-07;13;15.410013131991365;2339105080558.0;10.731987901556133;5;-1876737312;16;2;2013;77;437.0;15
0;1.9e-05;64;15.315000856645293;2321983603674.0;47.942447280274465;6;-1622466272;17;2;2013;127;651.0;10
0;1e-06;30;6.351211447391073;2279498539850.0;19.398084054114968;9;-788199264;18;2;2013;103;1275.0;13
0;2.2e-06;71;16.158994021175584;2274329345753.0;52.55484743808194;14;-1682395556;19;2;2013;227;504.0;15
0;8.2e-06;84;16.62381221867144;2219514782210.0;48.74308281766383;15;-1696978892;20;2;2013;38;735.0;13
0;2.5e-06;41;16.994817768270007;2047560507122.0;27.009084608042933;24;1460707746;21;2;2013;86;1078.0;8
0;1e-06;22;17.30139489904647;1925217171521.0;25.03227546736973;9;1340530684;22;2;2013;140;1078.0;10
0;4.7e-06;28;17.815771863829184;2120686762824.0;1000.0;0;0;23;2;2013;120;1690.0;16
0;2.6e-06;16;17.59765203476236;2256602086496.0;1000.0;0;0;24;2;2013;152;1690.0;14
0;8.9e-07;5;17.419939860701685;2376068831350.0;1000.0;0;0;25;2;2013;134;602.0;7
0;6.8e-07;20;9.45571123838646;2096682157512.0;143.67080930457374;2;660625984;26;2;2013;360;1888.0;9
0;8.3e-07;14;16.54714844724985;2144621997736.0;74.40556619447241;3;1004957984;27;2;2013;138;744.0;11
